shape	M	N	K	policy	rep	layout	tflops	avg_ms	build_md5
70B_GateUp_4kx28kx8k	4096	28672	8192	1	2	CRR	2509.78	0.7667	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	3	RCR	2846.33	0.6760	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	3	RRR	2775.42	0.6933	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	3	CRR	2496.48	0.7707	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	2	1	RCR	2795.21	0.6884	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	1	RRR	2709.90	0.7100	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	1	CRR	2465.65	0.7804	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	2	RCR	2803.97	0.6862	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	2	RRR	2708.70	0.7104	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	2	CRR	2464.57	0.7807	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	3	RCR	2795.11	0.6884	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	3	RRR	2703.32	0.7118	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	2	3	CRR	2463.28	0.7811	111331274e3748d4b584180be071cd45
70B_GateUp_4kx28kx8k	4096	28672	8192	3	1	RCR	2791.65	0.6893	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	1	RRR	2705.19	0.7113	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	1	CRR	2469.36	0.7792	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	2	RCR	2795.30	0.6883	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	2	RRR	2706.23	0.7110	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	2	CRR	2468.83	0.7794	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	3	RCR	2797.96	0.6877	a73ac2fe3f02768fbdbad6366d6bf9dd
70B_GateUp_4kx28kx8k	4096	28672	8192	3	3	RRR	2703.43	0.7117	a73ac2fe3f02768fbdbad6366d6bf9dd
